Enable,Tag,Group,Source,Destination,Skip_P4,Prefix,Sed,Type,Binary
1,debug_tools,Func,Func/ecore_dbg_fw_funcs.c,ecore_dbg_fw_funcs.c,,#include "bcm_osal.h"\\n#include "ecore.h"\\n#include "ecore_hw.h"\\n#include "ecore_mcp.h"\\n#include "spad_layout.h"\\n#include "nvm_map.h",,FW_TOOLS,
1,debug_tools,Func,Func/ecore_dbg_fw_funcs.h,ecore_dbg_fw_funcs.h,,,,FW_TOOLS,
1,debug_tools,Func,Func/ecore_user_dbg_fw_funcs.c,ecore_user_dbg_fw_funcs.c,,#include "bcm_osal.h"\\n#include "ecore.h"\\n#include "spad_layout.h"\\n#include "nvm_map.h",,FW_TOOLS,
1,debug_tools,Func,Func/ecore_user_dbg_fw_funcs.h,ecore_user_dbg_fw_funcs.h,,,,FW_TOOLS,
1,debug_tools,Func,Func/drv_user_dbg_fw_funcs.c,../common/drv_user_dbg_fw_funcs.c,,,,,
1,debug_tools,Func,Func/drv_user_dbg_fw_funcs.h,../common/include/drv_user_dbg_fw_funcs.h,,,,,
1,debug_tools,Func,Func/drv_dbg_fw_funcs.c,../ediag/drv_dbg_fw_funcs.c,,,,,
1,debug_tools,Func,Func/drv_dbg_fw_funcs.h,../ediag/drv_dbg_fw_funcs.h,,,,,
1,,Func,Func/drv_fcoe_fw_funcs.c,hsi_repository/,,,,,
1,,Func,Func/drv_fcoe_fw_funcs.h,hsi_repository/,,,,,
1,,Func,Func/drv_iscsi_fw_funcs.c,hsi_repository/,,,,,
1,,Func,Func/drv_iscsi_fw_funcs.h,hsi_repository/,,,,,
1,,Func,Func/drv_scsi_fw_funcs.c,hsi_repository/,,,,,
1,,Func,Func/drv_scsi_fw_funcs.h,hsi_repository/,,,,,
1,debug_tools,Func,Func/dbgUtils.tcl,../linux/add-ons/debug/debugfs/internal/dbgUtils.tcl,,,,,
1,debug_tools,Func,Func/dbgUtils.tcl,../ediag/scripts/dbgUtils.tcl,,,,,
1,,Func,Func/profiler.tcl,../ediag/scripts/profiler.tcl,,,,,
1,,Arrays,Init/*_array.cpp,../../common/hw_stub/arrays_orig/,,,,,
1,,Arrays,Init/RfArrayDef.h,../../common/hw_stub/arrays_orig/RfArrayDef.h,,,,,
